회사명,경력,고용형태,연봉,근무지
신라고등학교,관계없음,정규직,월급 205만원 ~210만원,근무지 경상북도 경주시 태종로 526
(주)엘에스엠케이,관계없음,정규직,월급 217만원 ~217만원,근무지 서울특별시 송파구 법원로 128 128
대한불교조계종진관사,관계없음,계약직,월급 240만원 ~300만원,근무지 서울특별시 은평구 진관길 73
(주)우진티앤에스,경력(최소 2년 이상),정규직,월급 350만원 ~600만원,근무지 서울특별시 송파구 송파대로 167
포항공과대학교산학협력단,관계없음,정규직,"연봉 3,500만원 이상",근무지 경상북도 포항시 남구 청암로 87
주식회사 기성대정정밀,관계없음,정규직,월급 220만원 이상,근무지 경상남도 양산시 용당산단1길 5
마준소프트 주식회사,관계없음,정규직,"연봉 3,700만원 ~5,000만원",근무지 경기도 용인시 수지구 광교중앙로 338
서울대학교 뉴미디어통신공동연구소,경력(최소 3년 이상),계약직,"연봉 2,700만원 이상",근무지 서울특별시 관악구 관악로 1
주식회사 에임폴,신입,계약직,"연봉 2,600만원 이상",근무지 경기도 안산시 단원구 산단로 325
(주)인틴랩스,경력(최소 2년 이상),계약직,월급 250만원 ~400만원,근무지 서울특별시 금천구 두산로 70
(주)모나스벤타나,경력(최소 1년 이상),정규직,월급 230만원 ~400만원,근무지 서울특별시 성동구 성수일로 99
휴씽크(주),신입,정규직,"연봉 2,800만원 이상",근무지 경상북도 김천시 혁신로 288-5
주식회사 크레이벤쳐스,경력(최소 2년 이상),계약직,월급 250만원 ~360만원,근무지 경기도 부천시 조마루로385번길 122
주식회사 다이몬소프트,경력(최소 5년 이상),정규직,"연봉 4,200만원 ~5,500만원",근무지 서울특별시 강남구 테헤란로20길 15
성심실버타운,관계없음,정규직,월급 220만원 이상,근무지 대구광역시 달서구 와룡로15길 59
경주대학교,신입,계약직,월급 200만원 ~250만원,근무지 경상북도 경주시 태종로 188
디제이패밀리(DJFamily),관계없음,정규직,"연봉 2,800만원 이상",근무지 경상북도 안동시 용상북1길 6
창창한 발달센터,관계없음,정규직,월급 202만원 ~250만원,근무지 경기도 광명시 양지로 21
창창한 발달센터,관계없음,정규직,월급 202만원 ~250만원,근무지 경기도 광명시 양지로 21
(주)썬더소프트코리아,관계없음,정규직,"연봉 3,200만원 이상",근무지 경기도 화성시 삼성1로3길 7
공영노인전문요양시설 사랑원,경력(최소 10년 이상),정규직,"연봉 4,500만원 이상",근무지 경상북도 경주시 귀격1길 21-52
(주)아이,관계없음,정규직,월급 210만원 ~220만원,근무지 대구광역시 동구 평화로 60
(주)아이,관계없음,정규직,월급 210만원 ~220만원,근무지 경상남도 거제시 옥포대첩로2길 54
민들레노인요양원,경력(최소 1년 이상),정규직,월급 201만원 이상,근무지 대구광역시 서구 당산로 231-2
연천군장애인가족지원센터,관계없음,계약직,월급 201만원 ~201만원,근무지 경기도 연천군 연천읍 연천로 191
민들레노인요양원,경력(최소 1년 이상),정규직,월급 250만원 ~320만원,근무지 대구광역시 서구 당산로 231-2
성심실버타운,관계없음,정규직,월급 230만원 이상,근무지 대구광역시 달서구 와룡로15길 59
성심실버타운,경력(최소 1년 이상),계약직,월급 215만원 이상,근무지 대구광역시 달서구 와룡로15길 59
(주)케이앤에스,관계없음,정규직,월급 240만원 ~500만원,근무지 경기도 의왕시 부곡중앙남7길 10
문수마을,관계없음,정규직,월급 250만원 이상,근무지 경기도 김포시 월곶면 김포대로 2857-39
주식회사 나솔시스템즈,경력(최소 2년 이상),정규직,"연봉 3,000만원 이상",근무지 경기도 안양시 동안구 벌말로 123
주식회사마켓해머,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~5,000만원",근무지 서울특별시 강남구 강남대로 484
주식회사 마이헨지,경력(최소 7년 이상),정규직,"연봉 4,800만원 ~5,400만원",근무지 서울특별시 금천구 가산디지털1로 168
울산US소프트,관계없음,정규직,"연봉 2,500만원 ~3,600만원",근무지 울산광역시 남구 옥현로 129
주식회사에스엘시피,관계없음,계약직,"연봉 2,600만원 ~3,600만원",근무지 서울특별시 금천구 가산디지털2로 70
(주)소프트윙스,관계없음,정규직,월급 230만원 ~300만원,근무지 경상남도 진주시 진주대로 501
주식회사 매디브,경력(최소 5년 이상),정규직,"연봉 3,000만원 이상",근무지 서울특별시 마포구 양화로 100-15
포용사회적협동조합,신입,정규직,월급 207만원 이상,근무지 경기도 남양주시 화도읍 경춘로 1793
정원어린이집,경력(최소 10년 이상),정규직,월급 201만원 ~201만원,근무지 서울특별시 양천구 남부순환로29길 17-1
성부산업,경력(최소 2년 이상),정규직,"연봉 4,000만원 이상",근무지 경상북도 칠곡군 왜관읍 공단로 203
유한회사 위드시스템,경력(최소 3년 이상),정규직,"연봉 4,000만원 ~6,000만원",근무지 전라북도 전주시 완산구 천잠로 303
포인드(주),신입,정규직,"연봉 3,000만원 이상",근무지 경상북도 구미시 구미대로 350-27
포인드(주),경력(최소 2년 이상),정규직,"연봉 3,270만원 이상",근무지 경상북도 구미시 구미대로 350-27
샤인소프트,경력(최소 3년 이상),계약직,"연봉 3,160만원 이상",근무지 경기도 용인시 처인구 모현읍 외대로 81
주식회사 이에프,신입,정규직,"연봉 3,240만원 ~5,000만원",근무지 대전광역시 유성구 대학로 99
(주)엘제이씨피,경력(최소 3년 이상),정규직,"연봉 3,500만원 ~5,000만원",근무지 서울특별시 강남구 도산대로 207
(주)엘제이씨피,경력(최소 5년 이상),정규직,"연봉 5,000만원 ~8,000만원",근무지 서울특별시 강남구 도산대로 207
이소Eng,관계없음,정규직,"일급 140,000원 ~200,000원",근무지 전라북도 전주시 완산구 내원당길 7-5
(주)준후택,관계없음,정규직,"시급 9,620원 이상",근무지 경상남도 거제시 아주로9길 22
함께하는우리,관계없음,정규직,월급 202만원 ~202만원,근무지 경기도 고양시 일산동구 대산로 20
문경대학,관계없음,정규직,"연봉 2,412만원 이상",근무지 경상북도 문경시 호계면 대학길 161
개성자바라스텐나라,관계없음,정규직,월급 240만원 이상,근무지 경기도 안산시 단원구 광덕4로 42
